% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,0.0,0.245624712884,8.37980996913
-168.0,0.0,0.292523733363,8.05770685333
-156.0,0.0,0.404047754601,4.8324217124
-144.0,0.0,0.32640744184,7.05704237118
-132.0,0.0,0.25719108218,7.68774611202
-120.0,0.0,0.476871336877,4.09928233144
-108.0,0.0,0.321691743493,11.8081585146
-96.0,0.0,0.297791746765,18.7493535283
-84.0,0.0,0.744592381597,23.9323684016
-72.0,0.0,0.380485432819,30.5784547925
-60.0,0.0,0.266939833045,30.5798759661
-48.0,0.0,0.865107985333,29.246700285
-36.0,0.0,0.591145082071,30.0097414635
-24.0,0.0,0.496035761639,24.4833150029
-12.0,0.0,0.25661620371,9.49439260659
0.0,0.0,0.474615417182,7.33453199616
12.0,0.0,0.40476083377,13.8615932639
24.0,0.0,0.308273907855,23.7182710878
36.0,0.0,0.524282399774,26.2791625476
48.0,0.0,0.525512732074,31.3591072856
60.0,0.0,0.792331178933,31.229085885
72.0,0.0,0.569421698332,29.8218668914
84.0,0.0,0.601495786205,24.5838877538
96.0,0.0,0.66191587247,13.8562303223
108.0,0.0,0.300501076385,10.3091673784
120.0,0.0,0.446992108569,17.5444036087
132.0,0.0,0.353467381671,18.1882246627
144.0,0.0,0.402806267187,25.0277746621
156.0,0.0,0.254377689198,19.0557515614
168.0,0.0,0.601357578039,7.11037565583
180.0,0.0,0.324223913133,12.8319310479
