% Mast Angle, Arm Angle, Background RSSI, Transmission RSSI
-180.0,-10.0,0.264881232038,8.97607998145
-180.0,-8.0,0.347431400388,8.34625902104
-180.0,-6.0,0.476348785698,9.05572304416
-180.0,-4.0,0.336630804673,9.23362042308
-180.0,-2.0,0.324591870353,8.6309664911
-180.0,0.0,0.382721783161,9.05826510626
-180.0,2.0,0.287129209846,9.86527341431
-180.0,4.0,0.283331012964,9.52106488889
-180.0,6.0,0.284185037285,8.96414572325
-180.0,8.0,0.388241850853,9.75666201633
-180.0,10.0,0.25207358472,9.86186867911
-168.0,-10.0,0.352094159856,12.1526958083
-168.0,-8.0,0.298328245714,11.9796946023
-168.0,-6.0,0.396059339896,14.0860109151
-168.0,-4.0,0.465590685278,14.1566212477
-168.0,-2.0,0.427239656985,14.0117112088
-168.0,0.0,0.489524230942,14.7892562759
-168.0,2.0,0.31028019312,15.0909041494
-168.0,4.0,0.343994005412,15.8972808567
-168.0,6.0,0.386946298495,14.5680669576
-168.0,8.0,0.508572937667,14.8554432
-168.0,10.0,0.60332042411,14.7914509229
-156.0,-10.0,0.448920264676,9.33412096769
-156.0,-8.0,0.438325993478,11.6579063344
-156.0,-6.0,0.457358940467,12.0332903177
-156.0,-4.0,0.454171955392,11.8677333886
-156.0,-2.0,0.272454834849,12.7622765895
-156.0,0.0,0.325576195046,13.4333976386
-156.0,2.0,0.344579498246,13.6151514817
-156.0,4.0,0.424985746607,15.2658736946
-156.0,6.0,0.509892137527,15.2743957521
-156.0,8.0,0.235313456625,14.6967540714
-156.0,10.0,0.399567953601,14.2451922875
-144.0,-10.0,0.397106672615,9.06116623443
-144.0,-8.0,0.411518706873,9.27236949986
-144.0,-6.0,0.379837483317,12.1594745805
-144.0,-4.0,0.49828207022,8.05335756493
-144.0,-2.0,0.380994483858,9.22949123266
-144.0,0.0,0.40829248926,9.99974242669
-144.0,2.0,0.502457640797,10.2260731252
-144.0,4.0,0.407413935497,11.0765113541
-144.0,6.0,0.508347973347,9.99177976835
-144.0,8.0,0.495997527212,11.1701809635
-144.0,10.0,0.285497095883,11.122457106
-132.0,-10.0,0.32173408778,10.996513134
-132.0,-8.0,0.496921478748,8.9351341961
-132.0,-6.0,0.413183758229,9.18966929078
-132.0,-4.0,0.37797311081,11.0997073266
-132.0,-2.0,0.421388275132,11.4656797312
-132.0,0.0,0.367397040367,12.0836207136
-132.0,2.0,0.323837556481,13.1762633616
-132.0,4.0,0.277001176313,13.6225714327
-132.0,6.0,0.329881820023,12.1484313384
-132.0,8.0,0.331075058475,13.8440524545
-132.0,10.0,0.430226164982,16.1274190555
-120.0,-10.0,0.484063977733,14.0396505865
-120.0,-8.0,0.389920939177,15.0594984685
-120.0,-6.0,0.443796259463,15.9281225714
-120.0,-4.0,0.464100424826,17.9738670912
-120.0,-2.0,0.312862027094,16.4990641586
-120.0,0.0,0.295223556906,16.3119276451
-120.0,2.0,0.536125887975,17.7060702072
-120.0,4.0,0.373745790884,18.1646305665
-120.0,6.0,0.385956834674,16.573133128
-120.0,8.0,0.443272563905,16.7685265799
-120.0,10.0,0.438672440737,19.6806864022
-108.0,-10.0,0.39631132032,15.1189933327
-108.0,-8.0,0.579964671165,16.5298909615
-108.0,-6.0,0.359032604843,16.8207567888
-108.0,-4.0,0.332330755875,17.3662198956
-108.0,-2.0,0.56794466792,17.9735376081
-108.0,0.0,0.381266006798,17.13490355
-108.0,2.0,0.394555141225,19.9606243654
-108.0,4.0,0.663299013764,20.1226588838
-108.0,6.0,0.534280283943,18.588997364
-108.0,8.0,0.531516488239,21.2178711062
-108.0,10.0,0.343693444937,19.9741221957
-96.0,-10.0,0.296005277753,14.8689175176
-96.0,-8.0,0.579824410141,15.0375262754
-96.0,-6.0,0.281474177971,14.9015251242
-96.0,-4.0,0.329866462097,17.4867412237
-96.0,-2.0,0.33769393,14.7321767134
-96.0,0.0,0.399703599632,16.5444152374
-96.0,2.0,0.548048482805,16.8526408069
-96.0,4.0,0.486631857231,17.717524615
-96.0,6.0,0.572340881765,18.4144488519
-96.0,8.0,0.285836330742,19.4953938885
-96.0,10.0,0.40664646402,20.6859930263
-84.0,-10.0,0.678824148536,10.780243928
-84.0,-8.0,0.374567911327,12.1373085338
-84.0,-6.0,0.484825447276,13.517550712
-84.0,-4.0,0.351589712679,14.552811802
-84.0,-2.0,0.336206915334,14.6845279791
-84.0,0.0,0.520192900017,14.7390930277
-84.0,2.0,0.282808830619,15.2610436268
-84.0,4.0,0.262349956855,16.3838342398
-84.0,6.0,0.455340943605,16.5284257939
-84.0,8.0,0.510925405785,17.4918361723
-84.0,10.0,0.446512969613,19.8495647997
-72.0,-10.0,0.485366266623,12.9175449986
-72.0,-8.0,0.382848296359,11.7236109843
-72.0,-6.0,0.411772833899,13.1628201548
-72.0,-4.0,0.344856397077,13.8734579266
-72.0,-2.0,0.513438915625,13.5697115442
-72.0,0.0,0.438358937204,14.2132590531
-72.0,2.0,0.453263287693,15.698083894
-72.0,4.0,0.45959824273,16.0980830541
-72.0,6.0,0.391604803562,15.4258091249
-72.0,8.0,0.418348656639,16.0196759434
-72.0,10.0,0.358599129066,15.6079202254
-60.0,-10.0,0.61490867573,8.01828146315
-60.0,-8.0,0.522755127251,7.83078482109
-60.0,-6.0,0.322831721246,7.54057015073
-60.0,-4.0,0.34613901943,8.59566972238
-60.0,-2.0,0.40987936455,8.65029924518
-60.0,0.0,0.34863535133,9.66503682423
-60.0,2.0,0.406354411721,8.69465326709
-60.0,4.0,0.347044784501,9.91297518352
-60.0,6.0,0.339073338389,9.75704731697
-60.0,8.0,0.495421029389,11.0161647295
-60.0,10.0,0.558796745896,9.75019334674
-48.0,-10.0,0.366894603372,7.94920117259
-48.0,-8.0,0.350537359059,8.74816981936
-48.0,-6.0,0.354599832296,8.04133901882
-48.0,-4.0,0.377873062998,8.25183040413
-48.0,-2.0,0.454773040324,7.51532032791
-48.0,0.0,0.33569423984,6.9160207662
-48.0,2.0,0.310162530407,6.94644452709
-48.0,4.0,0.40750286369,6.70187394229
-48.0,6.0,0.383370189711,5.29977572277
-48.0,8.0,0.309659438968,5.2596865949
-48.0,10.0,0.319457986444,7.60175185949
-36.0,-10.0,0.384664774537,8.52301189321
-36.0,-8.0,0.394701601744,9.29617816073
-36.0,-6.0,0.383801568449,8.247127599
-36.0,-4.0,0.356149227381,9.5035738039
-36.0,-2.0,0.471945178106,8.68521538055
-36.0,0.0,0.451042771176,6.60820571113
-36.0,2.0,0.446702186286,6.25025047892
-36.0,4.0,0.290920342728,5.99923321137
-36.0,6.0,0.39911820665,5.43049844956
-36.0,8.0,0.316144811481,5.02662544915
-36.0,10.0,0.309547830537,2.12008174819
-24.0,-10.0,0.288860887304,13.6618152895
-24.0,-8.0,0.500076311857,12.0315553946
-24.0,-6.0,0.329706380174,11.0382851158
-24.0,-4.0,0.309179862455,11.8708323419
-24.0,-2.0,0.465240368038,12.2302717993
-24.0,0.0,0.551363126859,10.8870406305
-24.0,2.0,0.429233374089,10.7178374614
-24.0,4.0,0.434327694952,10.2094241174
-24.0,6.0,0.366542247057,10.1040819734
-24.0,8.0,0.51587733677,10.4333111166
-24.0,10.0,0.340285246596,11.5217142353
-12.0,-10.0,0.464571782976,21.6551781242
-12.0,-8.0,0.411751950413,23.2168741953
-12.0,-6.0,0.3410642685,24.926332019
-12.0,-4.0,0.623828702599,23.1165396853
-12.0,-2.0,0.583431980148,23.2748159277
-12.0,0.0,0.366297518551,23.9275425907
-12.0,2.0,0.76851197587,22.5203140216
-12.0,4.0,0.311929754943,21.6941882242
-12.0,6.0,0.432775604784,23.1802730134
-12.0,8.0,0.724940256849,21.787137865
-12.0,10.0,0.640455359802,22.1752173345
0.0,-10.0,0.695021494657,37.180879344
0.0,-8.0,0.506940570548,38.1262750912
0.0,-6.0,0.693856872931,37.0923233401
0.0,-4.0,0.540987806901,32.7969166902
0.0,-2.0,1.22467746098,34.287998325
0.0,0.0,0.499237817436,37.4817919619
0.0,2.0,0.436415038332,37.6374460765
0.0,4.0,0.372616059527,36.3003220252
0.0,6.0,1.22649049225,33.7098297896
0.0,8.0,0.416032916233,38.0755971487
0.0,10.0,0.52371118632,27.6270442699
12.0,-10.0,0.83392533344,34.8396402225
12.0,-8.0,0.779869664639,39.7317644422
12.0,-6.0,0.544144314736,40.8267729106
12.0,-4.0,0.959135478109,36.8441744291
12.0,-2.0,1.10314818685,37.2971653639
12.0,0.0,0.939031566337,39.5395785931
12.0,2.0,1.15731224653,38.8660069405
12.0,4.0,1.09204833315,37.6035473315
12.0,6.0,1.26195475203,36.7200879125
12.0,8.0,0.625309229106,35.8216786947
12.0,10.0,1.17281067446,39.2565686204
24.0,-10.0,0.749014057294,34.0769604213
24.0,-8.0,0.727752097458,30.5433704054
24.0,-6.0,0.287011665642,29.7467592123
24.0,-4.0,0.29279693833,31.6025551664
24.0,-2.0,0.381115903795,31.8397352401
24.0,0.0,0.764871615931,35.4878293482
24.0,2.0,0.449613968134,32.0360315483
24.0,4.0,0.46893570441,32.6726717478
24.0,6.0,0.648536199793,30.993959484
24.0,8.0,0.452615373522,34.8778066878
24.0,10.0,0.371163655147,32.3928138418
36.0,-10.0,0.773505035356,22.5175273871
36.0,-8.0,0.333485563681,22.5319714488
36.0,-6.0,0.435661854237,19.5029189276
36.0,-4.0,0.444851666078,21.9093260659
36.0,-2.0,0.448857453078,24.1608262252
36.0,0.0,0.350566102877,26.0300473422
36.0,2.0,0.618474452168,23.5216678038
36.0,4.0,0.852693949953,26.413473792
36.0,6.0,0.886336267129,25.8711419482
36.0,8.0,0.931259761006,24.5323812732
36.0,10.0,0.914181234106,28.1910086341
48.0,-10.0,0.723033345088,18.4638877047
48.0,-8.0,0.336136495411,20.2979651905
48.0,-6.0,0.414327555433,21.2595074457
48.0,-4.0,0.419465472475,20.0136814039
48.0,-2.0,0.364453755692,20.3336249451
48.0,0.0,0.768198420957,23.4936071844
48.0,2.0,0.267553445861,23.6945079172
48.0,4.0,0.31009375152,23.8584094639
48.0,6.0,0.348791348413,27.5562073063
48.0,8.0,0.456714600861,28.4959254843
48.0,10.0,0.458778803781,29.3105844487
60.0,-10.0,0.472616746068,23.3509660233
60.0,-8.0,0.52766345562,23.9994298198
60.0,-6.0,0.638085998878,25.3735620801
60.0,-4.0,0.863101520926,27.0847471825
60.0,-2.0,0.272222059891,26.8281824737
60.0,0.0,0.380785608009,26.9370388494
60.0,2.0,0.634576346308,30.5686487162
60.0,4.0,0.618159757823,28.1475946972
60.0,6.0,0.785000657648,32.2175903999
60.0,8.0,0.463780481964,30.6036677315
60.0,10.0,0.799216895878,32.7561895368
72.0,-10.0,0.449472644791,29.8950211495
72.0,-8.0,0.309530736908,30.6941126584
72.0,-6.0,0.32961798732,31.8588841386
72.0,-4.0,0.909202324525,30.315857811
72.0,-2.0,0.945061664879,33.1938444544
72.0,0.0,0.474497708321,32.0114779625
72.0,2.0,0.773095384315,35.5165553775
72.0,4.0,0.618004401982,36.9403404034
72.0,6.0,0.475154038742,37.3631270952
72.0,8.0,1.02790511116,34.7765576856
72.0,10.0,0.311809533045,31.5813860151
84.0,-10.0,1.09938712057,30.4145620492
84.0,-8.0,0.425804323778,32.8933523146
84.0,-6.0,0.739578332186,32.3144835843
84.0,-4.0,0.939239092723,33.1854825011
84.0,-2.0,0.894920976251,32.9712621584
84.0,0.0,0.993097362876,35.038626432
84.0,2.0,0.420361705169,37.6448028882
84.0,4.0,0.889109202161,37.1248144706
84.0,6.0,0.832822553501,37.732439186
84.0,8.0,0.974202586353,41.6877363408
84.0,10.0,0.437521412089,40.7982812134
96.0,-10.0,0.732473746955,28.6209680383
96.0,-8.0,0.537360640302,28.6503691531
96.0,-6.0,0.684448869914,30.1338245495
96.0,-4.0,0.899707477167,32.3722689328
96.0,-2.0,1.12053122932,34.135198267
96.0,0.0,0.276830168262,32.0333004481
96.0,2.0,0.347242267475,36.0866947174
96.0,4.0,0.4214420145,39.0759419116
96.0,6.0,0.473810863063,33.8880727543
96.0,8.0,0.691272319868,34.815819801
96.0,10.0,0.567427059934,35.3792367208
108.0,-10.0,0.531263460383,28.8329943616
108.0,-8.0,0.408412359565,31.9258635614
108.0,-6.0,0.724191386834,32.5678097954
108.0,-4.0,0.840725070849,30.3034210722
108.0,-2.0,0.720610937834,32.7941602525
108.0,0.0,0.872884140253,35.3315459197
108.0,2.0,0.470480452046,34.51995231
108.0,4.0,0.739253995612,35.0108608481
108.0,6.0,0.58506695801,32.5320333328
108.0,8.0,1.12933826098,34.8300420473
108.0,10.0,0.367491386726,35.3154209099
120.0,-10.0,1.15273032278,26.4841482789
120.0,-8.0,0.279112341121,28.723089856
120.0,-6.0,0.439971246406,31.6225665907
120.0,-4.0,0.43915856503,28.2881667256
120.0,-2.0,0.475230742157,30.8895020685
120.0,0.0,0.843743461072,31.7302239046
120.0,2.0,0.763762957841,33.6188590411
120.0,4.0,0.945870964304,34.1440264666
120.0,6.0,0.963052870944,33.1283755513
120.0,8.0,1.19280984625,33.2176053547
120.0,10.0,0.380752204672,34.8019033219
132.0,-10.0,0.717562397107,19.5438764574
132.0,-8.0,0.643299399123,20.7161594214
132.0,-6.0,0.542623552069,21.2603406597
132.0,-4.0,0.453533432081,21.7676541254
132.0,-2.0,0.597285862222,22.107960789
132.0,0.0,0.333244103506,22.901158434
132.0,2.0,0.591762677744,21.9487566988
132.0,4.0,0.736242542699,23.1949286875
132.0,6.0,0.753130998537,24.6959062792
132.0,8.0,1.04134614724,22.7781969317
132.0,10.0,0.584615578726,24.1314360241
144.0,-10.0,0.554082479715,18.4346473942
144.0,-8.0,0.486998872548,17.7415753856
144.0,-6.0,0.600515876353,18.8009015539
144.0,-4.0,0.388007070884,19.9792386363
144.0,-2.0,0.641263604328,19.2551131208
144.0,0.0,0.68036927563,20.4842895588
144.0,2.0,0.704461586669,19.6572902738
144.0,4.0,0.368253941774,20.5416392558
144.0,6.0,0.421649783775,24.4871440668
144.0,8.0,0.651752569914,22.7044397552
144.0,10.0,0.435849642634,23.8994272281
156.0,-10.0,0.75424899368,14.1317438489
156.0,-8.0,0.578288459107,14.5118922685
156.0,-6.0,0.619938181236,14.1130808558
156.0,-4.0,0.340252829075,15.2586287799
156.0,-2.0,0.552489271164,14.4260373999
156.0,0.0,0.487774841458,15.9771119015
156.0,2.0,0.389207674816,16.4543111104
156.0,4.0,0.404166656211,16.8386257793
156.0,6.0,0.426213338315,18.2400318948
156.0,8.0,0.712748675078,19.5721001589
156.0,10.0,0.80057140848,18.7008642366
168.0,-10.0,0.575372788981,7.82622169757
168.0,-8.0,0.297670186877,7.59227475372
168.0,-6.0,0.510234969601,7.71358313709
168.0,-4.0,0.464569418535,8.23419989973
168.0,-2.0,0.317460986793,7.6786580992
168.0,0.0,0.360804454312,6.62335520321
168.0,2.0,0.324422667801,6.21862884331
168.0,4.0,0.380353802457,5.4956035077
168.0,6.0,0.341889563859,5.4002602261
168.0,8.0,0.284643607989,5.37458657518
168.0,10.0,0.341598867342,5.42702486515
180.0,-10.0,0.411295300245,12.683522041
180.0,-8.0,0.501490766406,14.5888149922
180.0,-6.0,0.473094826311,14.2854218576
180.0,-4.0,0.439453222543,13.4130173641
